,year,category,nominee,artist,workers,winner
45,2019,Best Traditional Pop Vocal Album,A Legendary Christmas,John Legend,,False
46,2019,Best Traditional Pop Vocal Album,Walls,Barbra Streisand,,False
47,2019,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,,True
48,2019,Best Pop Vocal Album,The Lion King: The Gift,Beyoncé,,False
49,2019,Best Pop Vocal Album,"thank u, next",Ariana Grande,,False
50,2019,Best Pop Vocal Album,No.6 Collaborations Project,Ed Sheeran,,False
51,2019,Best Pop Vocal Album,Lover,Taylor Swift,,False
52,2019,Best Dance Recording,Got To Keep On,The Chemical Brothers,"The Chemical Brothers, producers; Steve Dub Jones & Tom Rowlands, mixers",True
53,2019,Best Dance Recording,Linked,Bonobo,"Simon Green, producer; Simon Green & Frank Merritt, mixers",False
54,2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,"Simone Giani, Luca De Gregorio & Mattia Vitale, producers; Simone Giani, Luca De Gregorio & Mattia Vitale, mixers",False
55,2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,"Jason Evigan & RÜFÜS DU SOL, producers; Cassian Stewart-Kasimba, mixer",False
56,2019,Best Dance Recording,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign","Boys Noize & Skrillex, producers; Tom Norris & Skrillex, mixers",False
57,2019,Best Dance/Electronic Album,No Geography,The Chemical Brothers,,True
58,2019,Best Dance/Electronic Album,LP5,Apparat,,False
59,2019,Best Dance/Electronic Album,Hi This Is Flume (Mixtape),Flume,,False
60,2019,Best Dance/Electronic Album,SOLACE,RÜFÜS DU SOL,,False
61,2019,Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,,False
62,2019,Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,,True
63,2019,Best Contemporary Instrumental Album,Ancestral Recall,Christian Scott aTunde Adjuah,,False
64,2019,Best Contemporary Instrumental Album,Star People Nation,Theo Croker,,False
65,2019,Best Contemporary Instrumental Album,Beat Music! Beat Music! Beat Music!,Mark Guiliana,,False
66,2019,Best Contemporary Instrumental Album,Elevate,Lettuce,,False
67,2019,Best Rock Performance,This Land,Gary Clark Jr.,,True
68,2019,Best Rock Performance,Pretty Waste,Bones UK,,False
69,2019,Best Rock Performance,History Repeats,Brittany Howard,,False
70,2019,Best Rock Performance,Woman,Karen O & Danger Mouse,,False
71,2019,Best Rock Performance,Too Bad,Rival Sons,,False
72,2019,Best Metal Performance,7empest,Tool,,True
73,2019,Best Metal Performance,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,,False
74,2019,Best Metal Performance,Humanicide,Death Angel,,False
75,2019,Best Metal Performance,Bow Down,I Prevail,,False
76,2019,Best Metal Performance,Unleashed,Killswitch Engage,,False
77,2019,Best Rock Song,This Land,,"Gary Clark Jr., songwriter (Gary Clark Jr.)",True
78,2019,Best Rock Song,Fear Inoculum,,"Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)",False
79,2019,Best Rock Song,Give Yourself A Try,,"George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)",False
80,2019,Best Rock Song,Harmony Hall,,"Ezra Koenig, songwriter (Vampire Weekend)",False
81,2019,Best Rock Song,History Repeats,,"Brittany Howard, songwriter (Brittany Howard)",False
82,2019,Best Rock Album,Social Cues,Cage The Elephant,,True
83,2019,Best Rock Album,amo,Bring Me The Horizon,,False
84,2019,Best Rock Album,In The End,The Cranberries,,False
85,2019,Best Rock Album,Trauma,I Prevail,,False
86,2019,Best Rock Album,Feral Roots,Rival Sons,,False
87,2019,Best Alternative Music Album,Father Of The Bride,Vampire Weekend,,True
88,2019,Best Alternative Music Album,U.F.O.F.,Big Thief,,False
89,2019,Best Alternative Music Album,Assume Form,James Blake,,False
90,2019,Best Alternative Music Album,"I,I",Bon Iver,,False
91,2019,Best Alternative Music Album,Anima,Thom Yorke,,False
92,2019,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,,True
